title,tmdb_id,imdb_id,duration,genres,img,popularity,vote_average,vote_count,year_released
b'face of the frog',b'6699',b'tt0052829',b'89',"b""['crime', 'thriller']""",b'/vrf942vxnkcjpzoxwfh474ikele.jpg',b'1.389',b'5.8',b'6',b'1959-09-04'
"b'k\xc3\xbcss mich, genosse!'",b'6703',b'tt0933062',b'92',"b""['comedy']""",b'/fwrzqraeyqdq3tqxksnq6caaosp.jpg',b'0.377',b'6.0',b'2',b'2007-01-23'
b'verdammt die jungen s\xc3\xbcnder nicht',b'6720',b'tt0171885',b'90',"b""['drama']""",b'/rkwg70n26gohdle8nfcybcr7qlg.jpg',b'0.059',b'5.0',b'1',b'1961-01-01'
b'das siegel gottes',b'6722',b'tt0041872',b'87',"b""['drama']""",b'/qplgujxtt5e4aglkdymymwklhfx.jpg',b'0.082',b'6.0',b'1',b'1949-02-08'
b'the rookie',b'6723',b'tt0100514',b'120',"b""['action', 'crime', 'drama', 'thriller']""",b'/eknere7uxshuzavtuaj5yy2viyh.jpg',b'6.223',b'5.7',b'176',b'1990-12-06'
b'the white horse inn',b'6792',b'tt0053941',b'103',"b""['comedy']""",b'/akryhagwtno9bl0fybh45alyddv.jpg',b'0.913',b'5.4',b'8',b'1960-12-20'
b'the haunted castle',b'6793',b'tt0012651',b'81',"b""['crime', 'drama', 'horror']""",b'/ry0ihmhwjm0akh69d1kf09mizji.jpg',b'1.579',b'6.1',b'7',b'1921-04-07'
b'rosen aus dem s\xc3\xbcden',b'6794',b'tt0047430',b'102',"b""['comedy']""",b'/vllhptgrsa91khojxuwksm05mz7.jpg',b'0.001',b'0.0',b'0',b'1954-01-01'
b'zathura: a space adventure',b'6795',b'tt0406375',b'101',"b""['family', 'fantasy', 'science fiction', 'adventure', 'comedy']""",b'/amqgiuisrbt8tszm6ctt6go9wlr.jpg',b'7.352',b'6.2',b'1214',b'2005-11-06'
b'the ten commandments',b'6844',b'tt0049833',b'220',"b""['drama', 'history']""",b'/lolro3sfhhkn3o3fthdx1vf9zyf.jpg',b'9.814',b'7.6',b'471',b'1956-10-05'
b'zwei bayern im urwald',b'6881',b'tt0051230',b'87',"b""['comedy']""",b'/5gwsnxdwjwmvcrpugw1ydivqodv.jpg',b'0.001',b'0.0',b'0',b'1957-06-06'
b'zwei herzen voller seligkeit',b'6882',b'tt0051231',b'94',"b""['drama']""",b'none',b'0.001',b'0.0',b'0',b'1957-03-22'
b'two-minute warning',b'6883',b'tt0075359',b'115',"b""['action', 'thriller']""",b'/7ywehgvzlo1zccomkjeonstxbmm.jpg',b'2.625',b'6.3',b'32',b'1976-11-12'
b'evil alien conquerors',b'6884',b'tt0305556',b'89',"b""['comedy', 'science fiction']""",b'/dqrsnututryfkmewi4zqelakfjy.jpg',b'1.014',b'4.8',b'5',b'2003-12-03'
b'zw\xc3\xb6lf m\xc3\xa4dchen und ein mann',b'6932',b'tt0053471',b'88',"b""['comedy', 'crime']""",b'/cp6njxiri9qzdv0xgdxqq4jelfk.jpg',b'0.052',b'5.0',b'1',b'1959-10-15'
b'yesterday',b'6934',b'tt0419279',b'96',"b""['drama']""",b'/wtanxlldsp6n6zajog83o8t2q8c.jpg',b'0.494',b'8.1',b'8',b'2004-09-03'
b'yamakasi',b'6935',b'tt0267129',b'90',"b""['action', 'crime', 'drama']""",b'/vfoye0lthvjekmn69davzdeafsf.jpg',b'7.277',b'5.8',b'194',b'2001-04-04'
b'ben x',b'6936',b'tt0953318',b'90',"b""['drama']""",b'/4eyfjfvnb6ohzjui9yaw8zmqwpe.jpg',b'5.42',b'7.0',b'121',b'2007-08-26'
b'miracle on ice',b'6945',b'tt0082754',b'150',"b""['drama', 'family']""",b'/6ozcvht10vwu1tfvywhipp0h5cd.jpg',b'0.976',b'5.6',b'6',b'1981-03-01'
b'for those who hunt the wounded down',b'6946',b'tt0116337',b'90',"b""['tv movie', 'thriller']""",b'none',b'0.029',b'0.0',b'0',b'1996-01-01'
